Subcategory,Food,Serving,Calories
Meat,Alligator,100 g,97 Cal
Meat,Beef,100 g,156 Cal
Meat,Beef Bologna,100 g,299 Cal
Meat,"Beef Fillet, Beef Tenderloin",100 g,121 Cal
Meat,Beef Heart,100 g,105 Cal
Meat,Beef Jerky,100 g,269 Cal
Meat,Beef Kidney,100 g,48 Cal
Meat,Beef Liver,100 g,131 Cal
Meat,Beef Patty,100 g,295 Cal
Meat,Beef Roast,100 g,216 Cal
Meat,Beef Stew,100 g,251 Cal
Meat,Beef Tongue,100 g,221 Cal
Meat,Beef Tripe,100 g,85 Cal
Meat,Bison Meat,100 g,146 Cal
Meat,Brawn,100 g,140 Cal
Meat,Buffalo,100 g,99 Cal
Meat,Buffalo Wings,100 g,312 Cal
Meat,Caribou,100 g,166 Cal
Meat,Chicken,100 g,166 Cal
Meat,Chicken Breast,100 g,101 Cal
Meat,Chicken Breast Fillet,100 g,118 Cal
Meat,"Chicken Breast, fried",100 g,105 Cal
Meat,"Chicken Breast, grilled",100 g,107 Cal
Meat,Chicken Drumstick,100 g,149 Cal
Meat,Chicken Liver,100 g,136 Cal
Meat,Chicken Thigh,100 g,173 Cal
Meat,"Chicken Thigh, cooked",100 g,141 Cal
Meat,"Chicken Thigh, grilled, roasted",100 g,164 Cal
Meat,Chicken Wings,100 g,191 Cal
Meat,Corned Beef,100 g,141 Cal
Meat,Cubed Steak,100 g,196 Cal
Meat,Duck,100 g,227 Cal
Meat,Duck Breast,100 g,209 Cal
Meat,Duck Liver,100 g,130 Cal
Meat,Filet Mignon,100 g,98 Cal
Meat,Flank Steak,100 g,165 Cal
Meat,Goose,100 g,342 Cal
Meat,Ground Beef,100 g,208 Cal
Meat,Hot Wings,100 g,252 Cal
Meat,Lamb,100 g,117 Cal
Meat,Lamb Chops,100 g,298 Cal
Meat,Meatball,100 g,214 Cal
Meat,Moose,100 g,102 Cal
Meat,Mutton,100 g,183 Cal
Meat,New York Strip Steak,100 g,205 Cal
Meat,Peking Duck,100 g,98 Cal
Meat,Philly Cheese Steak,100 g,212 Cal
Meat,Pigeon,100 g,294 Cal
Meat,Pork,100 g,279 Cal
Meat,Pork Belly,100 g,197 Cal
Meat,Pork Chop,100 g,133 Cal
Meat,Pork Liver,100 g,129 Cal
Meat,Pork Loin,100 g,106 Cal
Meat,Pork Roast,100 g,296 Cal
Meat,Pork Shoulder,100 g,219 Cal
Meat,Pork Skin,100 g,621 Cal
Meat,Pork Steak,100 g,106 Cal
Meat,Rabbit,100 g,152 Cal
Meat,Racoon,100 g,255 Cal
Meat,Rhea,100 g,174 Cal
Meat,Rib Eye Steak,100 g,241 Cal
Meat,Roast Beef,100 g,130 Cal
Meat,Rotisserie Chicken,100 g,188 Cal
Meat,Round Steak,100 g,161 Cal
Meat,Rump Steak,100 g,214 Cal
Meat,Sausage Patty,100 g,288 Cal
Meat,Sirloin Steak,100 g,182 Cal
Meat,Skirt Steak,100 g,121 Cal
Meat,Spam,100 g,476 Cal
Meat,"Spare Ribs, Pork Ribs",100 g,320 Cal
Meat,Squirrel,100 g,120 Cal
Meat,Steak Sandwich,100 g,326 Cal
Meat,Turkey,100 g,157 Cal
Meat,Venison,100 g,108 Cal
Fruit,Acai Berry,100 g,59 Cal
Fruit,Ackee,100 g,224 Cal
Fruit,Apple,100 g,64 Cal
Fruit,Apricot,100 g,45 Cal
Fruit,"Apricot, dried",100 g,269 Cal
Fruit,Asian Pear,100 g,42 Cal
Fruit,"Avocado, Hass Avocado",100 g,161 Cal
Fruit,Banana,100 g,92 Cal
Fruit,"Banana, small",100 g,89 Cal
Fruit,"Bartlett Pear, Williams Pear",100 g,55 Cal
Fruit,Blackberries,100 g,43 Cal
Fruit,Blood Orange,100 g,43 Cal
Fruit,Blueberries,100 g,46 Cal
Fruit,Breadfruit,100 g,103 Cal
Fruit,Cactus Pear,100 g,46 Cal
Fruit,Cantaloupe,100 g,56 Cal
Fruit,Carob,100 g,188 Cal
Fruit,Chayote,100 g,19 Cal
Fruit,Cherries,100 g,64 Cal
Fruit,Clementine,100 g,49 Cal
Fruit,Coconut,100 g,384 Cal
Fruit,Concord Grape,100 g,86 Cal
Fruit,Cranberries,100 g,76 Cal
Fruit,"Cranberries, dried",100 g,315 Cal
Fruit,Currant,100 g,40 Cal
Fruit,Dates,100 g,294 Cal
Fruit,"Dates, Medjool Dates",100 g,277 Cal
Fruit,Dragon Fruit,100 g,60 Cal
Fruit,Dried Fruit Mix,100 g,258 Cal
Fruit,Durian,100 g,151 Cal
Fruit,Elderberries,100 g,348 Cal
Fruit,Fig,100 g,66 Cal
Fruit,"Fig, dried",100 g,270 Cal
Fruit,"Fruit Salad, Mixed Fruit",100 g,63 Cal
Fruit,Goji Berry,100 g,325 Cal
Fruit,Gooseberries,100 g,43 Cal
Fruit,Grapefruit,100 g,47 Cal
Fruit,Grapes,100 g,72 Cal
Fruit,Guava,100 g,44 Cal
Fruit,Huckleberry,100 g,429 Cal
Fruit,Jackfruit,100 g,80 Cal
Fruit,Jujube,100 g,115 Cal
Fruit,Kiwi,100 g,61 Cal
Fruit,Kumquat,100 g,75 Cal
Fruit,Lemon,100 g,38 Cal
Fruit,Lime,100 g,48 Cal
Fruit,Longan,100 g,74 Cal
Fruit,Lychee,100 g,78 Cal
Fruit,Mandarin Orange,100 g,53 Cal
Fruit,Mango,100 g,61 Cal
Fruit,Mangosteen,100 g,76 Cal
Fruit,Maraschino Cherries,100 g,35 Cal
Fruit,"Melon, Galia Melon",100 g,56 Cal
Fruit,"Melon, Honeydew Melon",100 g,56 Cal
Fruit,"Melon, Musk melon",100 g,56 Cal
Fruit,"Melon, Water Melon",100 g,38 Cal
Fruit,"Melon, Winter Melon",100 g,30 Cal
Fruit,"Melon, Yellow Melon",100 g,30 Cal
Fruit,"Mixed Berries, frozen",100 g,67 Cal
Fruit,Mulberries,100 g,47 Cal
Fruit,Nectarine,100 g,59 Cal
Fruit,Nopal,100 g,321 Cal
Fruit,"Olive, black",100 g,320 Cal
Fruit,"Olive, green",100 g,141 Cal
Fruit,Orange,100 g,47 Cal
Fruit,Papaya,100 g,35 Cal
Fruit,Passion Fruit,100 g,66 Cal
Fruit,Pawpaw,100 g,80 Cal
Fruit,Peach,100 g,44 Cal
Fruit,Pear,100 g,57 Cal
Fruit,"Persimmon, Khaki",100 g,75 Cal
Fruit,Pineapple,100 g,58 Cal
Fruit,Pink Grapefruit,100 g,47 Cal
Fruit,Plantain,100 g,125 Cal
Fruit,"Plantain, fried",100 g,309 Cal
Fruit,Plum,100 g,48 Cal
Fruit,Poha,100 g,379 Cal
Fruit,Pomegranate,100 g,79 Cal
Fruit,Pomelo,100 g,47 Cal
Fruit,Prickly Pear,100 g,31 Cal
Fruit,Prunes,100 g,48 Cal
